Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Cartagena;2021;1;2.952.300.593.306.320;6.013.801.078.047.410;13.064.084.359.659.800;963.948.420.114.826;15.052.830.725.563.600;31.018.110.295.160.300;316.581.732.787.351;63.544.341.485.486.000
Cali;2016;9;18.437.818.150.041.200;6.386.336.511.222.810;42.338.831.383.786.000;7.846.624.357.524.820;19.890.314.477.560.800;2.486.038.162.113.780;652.156.519.579.433;1.003.109.431.519.440
Barranquilla;2020;8;2.063.108.240.757.090;7.010.286.281.083.690;3.777.374.038.513.220;15.714.798.684.591.300;19.710.505.083.527.500;27.821.254.967.824.800;8.813.686.352.293.480;5.283.931.636.332.430
Medellín;2024;4;20.140.188.837.511.400;7.786.756.688.939.420;5.902.023.303.410.730;988.852.439.373.135;38.957.966.439.172.600;1.889.686.330.365.630;7.577.799.967.276.290;9.707.198.306.867.550
Cúcuta;2017;2;30.699.174.577.699.000;6.638.899.418.228.520;16.980.625.249.362.800;4.171.649.571.840.580;9.829.232.572.269.270;18.398.221.798.258.200;4.782.137.496.248.340;8.019.111.025.160.650
Cali;2023;9;6.427.893.634.276.130;4.940.689.488.615.160;2.977.634.391.009.880;10.201.512.997.492.900;29.433.182.201.243.000;21.203.129.358.075.300;7.255.448.024.402.640;9.515.075.895.491.230
Medellín;2017;4;3.616.905.944.837.310;4.203.835.920.162.430;1.180.271.343.850.990;609.325.599.214.618;26.996.587.310.734.900;21.735.300.573.931.300;7.578.435.869.961.190;11.573.431.893.732.800
Santa Marta;2017;9;52.743.507.340.812.800;12.194.874.414.750.400;2.368.405.917.836.670;1.0;42.426.468.213.305;27.354.122.585.579.700;7.307.178.170.177.300;8.327.075.727.584.740
Cúcuta;2019;10;4.260.464.518.742.210;4.740.369.939.470.870;2.926.631.785.976.790;559.144.903.924.934;3.279.283.869.210.380;1.835.158.025.409.320;6.389.079.916.058.030;6.888.149.716.047.050
Manizales;2021;3;51.707.935.969.733.300;5.962.749.997.471.230;23.152.740.880.205.100;7.361.322.145.660.740;3.642.252.342.172.400;21.556.860.449.012.000;8.282.622.174.127.050;7.381.885.717.339.090
Bucaramanga;2022;7;5.0;803.400.060.502.787;3.038.838.703.537.090;422.177.445.353.476;23.695.679.955.239.700;2.737.412.623.506.600;8.717.367.380.988.940;14.092.493.104.280.200
Bogotá;2021;7;3.043.312.968.277.650;7.721.721.219.131.360;18.066.700.953.981.100;12.876.232.660.570.100;15.228.021.749.936.800;23.077.717.916.993.300;6.768.714.897.981.230;15.105.260.112.704.200
Cartagena;2023;10;546.070.313.472.607;8.041.731.385.123.140;5.0;6.112.761.213.356.090;2.609.428.828.948.200;21.945.915.148.477.000;9.279.482.250.962.150;7.940.404.028.480.170
Cali;2019;4;26.423.962.658.759.900;6.114.565.860.935.640;3.482.115.312.165.060;12.392.131.004.172.200;39.325.948.631.117.100;23.192.488.107.334.600;6.765.608.908.350.120;9.381.867.494.541.940
Bogotá;2024;2;6.143.709.747.304.410;7.477.116.141.279.090;3.475.814.653.602.530;3.833.401.318.158.420;3.929.868.757.382.120;16.362.237.492.445.600;6.265.278.467.089.930;31.824.053.280.614.800
Barranquilla;2017;11;5.725.835.230.651.640;7.122.687.328.481.720;50.036.366.422.883.300;14.546.094.605.412.600;24.832.949.146.611.600;162.812.344.287.902;9.035.365.041.134.300;9.272.237.556.928.330
Medellín;2020;9;27.963.039.258.088.000;6.375.737.264.917.420;5.0;3.617.587.366.667.540;19.671.074.344.217.300;1.405.893.124.183.190;8.980.634.534.465.840;4.193.778.002.875.480
Medellín;2019;4;2.745.254.721.430.460;749.081.948.354.268;32.508.321.093.468.100;1.0;17.319.850.501.113.700;23.033.408.936.848.000;6.069.836.798.952.700;8.046.650.213.279.930
Cali;2018;8;1.979.591.236.468.290;9.110.731.093.501.410;53.131.786.191.661.300;16.186.312.925.816.100;28.360.480.767.281.200;26.594.273.749.215.000;58.521.236.565.410.900;14.309.489.655.716.800
Pereira;2016;2;25.556.086.522.043.000;695.559.955.312.935;4.256.493.281.675.310;5.720.530.981.344.140;3.163.861.406.063.190;2.582.793.242.301.930;9.646.577.350.213.940;3.992.401.484.556.770
Pereira;2021;8;16.511.164.037.466.200;696.890.569.271.285;29.878.668.336.960.000;1.878.464.529.099.700;476.782.981.557.091;27.718.139.962.824.000;6.846.007.057.862.770;6.391.956.957.912.680
Manizales;2019;11;41.432.167.706.495.000;913.632.206.975.197;15.480.711.523.237.400;1.282.295.950.604.030;31.479.969.091.426.400;29.271.111.095.269.300;7.004.928.601.624.120;6.411.610.292.226.500
Bucaramanga;2018;10;131.593.025.998.035;8.922.720.719.637.620;3.280.222.474.601.430;13.951.316.591.906.200;3.736.519.192.568.560;22.723.236.922.440.800;6.621.628.843.978.090;3.324.586.259.235.650
Cúcuta;2022;5;4.405.599.524.285.330;10.167.872.881.926.900;1.946.954.992.283.060;15.227.362.502.330.300;20.634.384.145.149.300;21.676.961.411.132.200;8.982.416.255.866.020;13.450.821.909.019.700
Barranquilla;2023;7;4.442.118.045.350.370;34.875.395.310.408.400;2.800.416.099.551.260;10.563.396.731.245.300;3.050.041.205.914.940;293.798.234.742.123;100.0;11.108.952.135.204.200
Bogotá;2023;7;10.081.933.922.241.100;881.023.836.633.878;27.059.607.162.090.800;10.620.277.089.192.600;31.680.941.466.442.300;18.494.924.016.614.500;7.104.979.943.944.130;17.235.416.860.165.800
Pereira;2017;12;5.824.727.909.492.500;8.203.160.090.804.350;42.441.681.361.472.900;16.406.700.120.971.500;2.831.363.366.586.740;1.610.733.689.808.370;100.0;60.187.264.026.494.500
Manizales;2017;9;4.270.413.941.622.830;52.286.952.044.934.600;4.314.925.910.086.510;1.055.679.247.849.040;29.738.174.437.560.800;2.030.560.273.715.440;6.168.238.676.172.230;2.911.394.511.254.910
Manizales;2019;3;4.624.547.032.167.300;7.503.175.835.997.680;1.902.734.626.726.490;635.911.576.601.695;3.151.462.161.144.120;19.721.283.453.328.900;6.575.796.945.356.570;1.376.527.527.520.800
Cali;2019;10;23.620.021.976.858.400;9.102.243.495.515.990;3.558.105.617.996.030;12.928.792.800.811.100;3.577.244.175.713.170;22.241.633.729.105.100;8.009.631.390.280.260;855.664.870.147.324
Barranquilla;2024;4;4.433.568.677.709.670;53.416.821.550.292;28.548.401.555.702.900;1.0;4.402.941.652.096.510;17.749.901.544.284.400;5.774.513.905.324.990;8.133.503.689.801.760
Santa Marta;2016;10;5.189.590.174.583.090;7.885.124.858.045.610;10.873.179.329.930.800;16.597.794.007.801.000;5.0;23.848.665.723.816.600;7.990.318.479.173.940;15.912.105.638.195.600
Cúcuta;2015;4;3.352.087.401.492.980;8.742.707.351.462.030;180.377.161.962.782;16.702.195.679.825.400;4.336.485.016.966.420;19.154.439.798.047.500;6.222.257.980.045.350;10.679.049.449.788.000
Bucaramanga;2022;10;6.502.883.688.872.540;4.857.960.874.937.020;4.836.146.099.599.620;15.990.833.340.615.300;9.470.302.604.184.270;28.141.019.131.779.300;4.683.811.629.997.160;13.616.783.256.304.900
Cartagena;2017;5;35.660.969.523.694.000;6.715.428.615.109.700;28.578.544.011.046.500;15.798.859.811.888.400;3.370.515.385.244.100;16.027.172.482.801.400;4.386.245.467.314.250;7.509.410.593.289.030
Cali;2015;6;5.211.178.700.678.710;7.601.936.753.284.820;3.499.779.579.517.520;9.579.123.373.294.380;5.826.754.762.906.160;21.302.635.919.739.400;6.514.314.513.427.990;7.099.421.402.918.060
Cúcuta;2015;3;3.939.513.210.887.980;54.077.369.889.140.900;22.879.556.876.330.000;9.466.588.077.534.880;2.948.951.653.889.060;2.032.542.854.211.240;7.626.417.543.746.790;8.538.507.264.851.980
Cartagena;2016;4;4.378.282.299.285.300;5.241.693.601.812.900;1.960.058.085.280.650;3.851.799.551.145.710;321.602.296.729.757;2.315.444.961.335.230;4.958.215.381.962.320;12.681.466.432.131.400
Cartagena;2020;3;9.930.015.985.478.410;6.729.910.796.274.450;25.272.645.076.344.700;1.874.020.625.855.520;26.276.883.432.954.300;26.633.522.414.133.500;7.267.887.133.743.510;10.203.600.355.159.700
Barranquilla;2020;2;4.056.580.607.323.040;8.603.279.433.807.380;22.338.959.447.537.800;757.490.913.486.861;38.007.148.167.179.200;23.331.054.531.944.700;7.272.132.580.091.920;11.871.843.899.599.600
Barranquilla;2017;10;23.975.373.481.141.000;8.287.468.002.384.210;10.067.470.689.684.000;11.699.426.548.759.400;343.465.026.316.769;21.357.044.008.243.900;6.748.536.901.365.800;0.0
Bogotá;2018;12;22.304.025.413.334.600;52.771.745.416.273.100;14.966.745.425.459.600;1.127.022.641.477.380;21.887.433.062.651.100;2.545.627.518.882.640;5.610.629.527.286.490;24.721.266.936.298.700
Manizales;2016;9;6.116.154.776.698.960;8.304.335.770.231.370;3.207.884.514.412.230;3.297.904.091.979.210;2.862.776.333.778.210;26.215.123.847.080.700;7.360.355.386.225.470;13.852.830.705.257.100
Cúcuta;2016;1;31.793.446.279.064.700;5.328.120.447.666.980;2.119.309.310.897.580;12.766.248.793.839.700;16.578.761.954.673.400;23.345.998.983.521.700;678.649.624.247.338;8.482.824.582.856.010
Cali;2021;2;19.950.472.535.367.500;37.796.604.040.131.300;2.525.704.882.027.900;10.027.933.104.336.700;2.857.270.294.521.220;23.937.959.136.532.400;8.472.615.011.847.240;4.409.360.501.895.120
Medellín;2015;8;2.961.302.557.836.680;62.657.128.579.055.300;27.349.230.504.972.100;7.731.219.411.942.450;24.967.533.756.999.100;2.523.317.773.147.800;5.060.790.219.902.490;16.758.619.054.067.900
Cali;2021;7;15.493.246.566.171.200;9.245.938.743.171.470;281.305.004.881.872;9.552.815.703.783.320;31.638.491.419.088.600;13.780.366.370.753.700;7.170.947.399.970.040;9.914.460.134.716.690
Bogotá;2015;12;56.508.267.022.944.000;8.311.921.104.282.740;3.646.579.061.315.370;15.327.078.151.016.100;2.148.103.323.429.670;2.024.597.394.271.770;50.922.353.750.327.700;1.086.675.381.160.930
Bucaramanga;2020;1;24.564.788.837.502.200;6.996.856.385.253.610;1.401.304.184.931.460;11.124.720.752.685.100;27.426.819.718.965.600;2.388.116.965.604.330;6.644.389.014.551.860;56.408.315.344.244
Manizales;2017;5;4.293.949.900.915.500;6.166.589.032.817.880;30.702.527.235.436.200;13.792.612.703.823.600;3.010.527.330.225.770;20.541.962.581.128.100;5.357.380.017.447.000;5.516.047.636.959.330
Medellín;2022;10;55.341.600.713.154.800;62.204.757.277.671.300;32.550.277.935.196.400;12.226.640.810.877.800;3.094.101.237.547.980;2.055.926.555.180.900;5.624.081.150.283.810;16.204.954.547.504.700
Pereira;2020;6;27.497.709.781.779.000;7.217.569.811.721.590;3.485.851.779.001.500;8.418.329.033.800.840;3.329.140.458.847.010;2.387.450.771.399.960;6.994.230.775.842.080;17.129.649.298.378.800
Bucaramanga;2016;5;42.980.336.484.091.700;48.631.250.283.083.400;10.870.824.005.851.200;4.990.984.164.034.680;27.909.988.016.628.100;23.988.224.870.077.100;6.151.560.550.529.830;11.663.288.049.966.000
Barranquilla;2022;4;1.954.870.917.643.350;6.303.785.309.597.400;27.548.192.183.469.900;11.323.589.340.567.300;20.559.676.092.819.600;2.433.529.677.285.440;9.200.042.250.301.160;18.730.086.522.764.800
Cartagena;2019;1;7.168.654.353.670.520;6.568.861.077.280.460;4.216.075.946.398.510;10.419.463.096.730.400;30.984.879.271.794.900;1.803.888.269.139.840;8.768.747.194.648.530;8.298.087.477.504.860
Pereira;2022;7;4.904.570.201.924.930;4.297.851.083.097.000;2.400.879.480.843.370;14.575.781.687.523.700;27.853.706.092.850.800;1.491.098.319.722.900;8.207.128.416.480.720;11.253.069.945.969.300
Cali;2022;9;3.211.090.341.858.790;532.310.349.820.485;29.834.947.019.642.900;9.245.499.651.387.530;4.229.574.770.528.650;2.602.193.391.176.250;8.177.433.191.342.430;9.088.134.919.784.830
Cali;2020;6;23.407.494.036.665.500;7.821.013.582.972.760;3.280.395.594.585.180;8.513.292.274.422.380;4.380.889.801.092.430;18.287.922.462.557.500;7.195.395.856.696.480;15.193.356.376.367.400
Barranquilla;2016;3;332.900.517.074.056;7.019.023.679.881.980;14.745.301.556.017.300;8.852.503.081.092.000;13.535.034.774.755.700;1.794.237.321.863.860;8.957.194.040.404.670;17.398.062.304.168.400
Bogotá;2022;10;29.900.244.164.727.200;6.382.476.417.613.230;4.333.824.728.999.970;5.406.366.824.972.770;3.740.585.458.101.300;1.749.124.237.293.980;6.558.935.823.740.020;6.658.024.187.820.580
Cúcuta;2020;4;642.941.683.099.926;5.177.145.124.924.070;29.995.007.969.689.000;17.234.549.724.102.200;398.129.299.330.789;27.755.150.706.677.600;100.0;4.635.403.490.603.550
Pereira;2020;10;16.616.979.166.776.400;10.153.699.651.178.400;30.195.028.141.934.200;15.698.143.773.078.800;13.850.024.449.630.300;23.060.134.060.432.300;5.586.712.770.285.690;9.876.495.216.072.470
Pereira;2022;5;37.022.021.349.353.000;5.324.041.570.641.360;837.972.621.989.465;3.934.850.855.209.760;3.695.367.382.695.250;23.712.616.991.922.600;53.067.616.107.134.400;1.473.701.385.824.200
Santa Marta;2015;12;3.472.492.900.049.430;7.503.185.614.523.470;3.294.544.798.213.310;14.019.740.709.862.700;4.075.145.901.319.560;25.447.755.916.137.300;4.907.538.748.083.850;12.052.065.831.514.800
Bucaramanga;2016;12;3.323.884.549.482.690;60.242.618.238.524.000;30.064.103.413.791.300;1.0;18.604.240.345.456.900;21.788.147.347.922.200;5.168.700.041.140.190;47.374.373.872.862.900
Manizales;2023;1;3.337.075.017.592.480;707.255.858.527.667;4.124.191.327.722.060;14.926.446.165.555.100;27.163.900.522.547.500;2.706.344.231.332.850;4.555.966.251.705.570;40.776.255.644.593.400
Bucaramanga;2022;5;3.325.893.784.819.270;7.915.219.483.880.740;21.887.347.856.956.400;6.518.247.744.461.620;3.223.583.922.984.260;1.601.598.422.010.220;7.321.144.788.068.830;12.336.850.781.903.500
Cúcuta;2021;1;4.809.599.099.498.140;4.259.486.821.584.220;15.123.416.704.015.500;11.799.502.788.391.200;3.684.549.672.119.130;16.571.964.971.229.900;8.280.732.828.803.330;8.833.581.554.717.290
Cali;2021;9;44.134.766.697.386.500;6.986.767.511.693.020;18.177.610.052.256.600;1.0;18.138.727.074.628.700;1.629.615.267.166.980;7.051.206.116.666.670;8.107.636.262.427.180
Cali;2019;7;41.283.674.170.591.700;938.145.729.795.969;19.950.217.649.927.000;4.006.478.841.610.240;4.388.408.037.378.730;24.108.342.487.851.600;4.922.063.636.832.800;120.554.824.185.859
Cali;2016;3;5.0;10.523.003.786.984.000;13.811.534.818.686.200;12.343.514.836.247.000;5.647.822.439.212.760;24.532.088.480.993.400;6.295.480.775.921.850;725.795.902.888.261
Santa Marta;2020;9;39.496.923.112.447.400;6.739.972.053.489.730;37.901.600.237.659.900;6.495.459.083.086.090;45.884.946.587.106;19.637.089.816.432.400;8.262.228.925.426.160;1.389.482.997.742.450
Cali;2024;2;10.165.409.597.448.700;7.083.362.414.433.810;38.276.978.629.316.600;5.800.185.648.139.000;3.660.320.961.347.900;20.837.808.256.056.100;6.487.106.832.454.510;12.618.736.754.503.100
Cúcuta;2017;12;4.469.480.244.703.730;11.422.666.057.203.000;23.042.082.988.599.400;1.697.930.848.726.040;2.253.874.186.628.630;28.340.353.003.976.100;5.802.427.954.923.170;7.084.473.417.984.450
Barranquilla;2018;7;5.711.746.051.355.770;9.269.848.563.198.390;2.107.240.077.915.800;21.054.796.056.364.300;4.037.287.011.248.490;18.527.819.020.234.500;4.729.323.504.598.750;11.564.698.378.291.100
Manizales;2024;9;21.106.413.311.171.700;57.654.308.614.895.600;6.845.180.866.806.870;14.685.069.684.097.400;1.742.641.147.677.440;23.477.163.956.266.400;6.365.884.389.379.090;15.315.888.364.985.900
Cúcuta;2016;6;310.732.891.648.594;5.762.033.098.227.750;31.959.612.553.036.000;4.540.597.141.324.680;31.379.232.652.726.500;18.571.420.644.900.600;5.946.156.068.568.510;6.157.176.200.352.690
Manizales;2016;10;26.009.664.424.205.000;8.913.098.923.574.530;41.534.401.088.258.400;18.817.596.664.088.400;32.862.058.485.703.100;2.747.987.162.470.080;6.870.440.267.733.370;9.146.688.513.255.730
Cúcuta;2022;5;5.353.147.663.635.200;4.977.925.739.908.530;18.628.052.827.404.400;2.192.838.701.758.080;3.283.361.776.750.810;2.514.213.092.136.330;771.456.910.401.976;9.068.847.230.892.140
Cali;2022;12;3.642.541.827.908.100;9.175.453.502.677.700;23.832.154.742.236.000;847.754.272.962.337;19.923.389.314.615.800;15.005.392.869.977.000;657.629.303.148.099;8.569.139.851.446.480
Barranquilla;2024;7;60.924.940.708.495;7.668.599.927.502.010;2.934.291.461.315.730;10.273.888.834.936.800;24.047.073.931.709.000;20.695.994.851.760.200;7.277.210.794.578.500;13.207.585.239.006.000
Pereira;2020;6;41.206.313.044.210.800;8.035.441.528.054.140;4.224.418.360.609.900;19.620.189.219.193.700;31.520.938.393.809.700;11.604.966.044.685.300;7.708.007.724.261.900;13.524.330.314.509.800
Bucaramanga;2019;5;3.863.675.270.953.720;6.486.532.393.039.890;26.997.762.218.350.900;14.563.295.687.758.600;21.279.075.084.401.000;2.650.227.790.505.410;51.552.865.728.006.100;11.626.692.764.596.000
Cartagena;2022;2;36.023.101.739.042.500;574.035.039.150.718;26.954.299.160.265.100;7.681.211.526.002.400;332.574.335.313.193;3.223.654.475.460.710;9.829.061.945.672.410;1.143.574.042.987.740
Barranquilla;2018;8;4.726.988.148.886.000;992.398.566.173.664;2.679.318.501.159.800;5.275.218.646.101.250;22.630.488.381.281.000;1.109.779.439.999.720;5.887.858.588.724.130;775.116.631.180.669
Pereira;2018;7;8.934.707.026.319.840;650.652.543.889.305;1.074.967.493.096.320;15.010.963.269.016.200;4.200.000.031.292.690;14.864.506.545.314.700;7.774.834.374.558.770;11.322.111.836.049.200
Bogotá;2019;6;3.628.015.933.280.760;6.178.129.846.852.270;10.532.093.461.701.300;7.333.205.213.898.220;48.752.219.406.851.200;22.836.600.417.849.200;5.296.023.599.679.650;48.593.214.233.139.200
Cúcuta;2015;5;33.949.303.344.080.500;6.839.725.864.240.380;16.920.048.308.851.200;11.083.700.439.324.800;26.430.429.904.112.800;2.190.770.594.855.270;7.165.213.920.512.480;19.914.168.048.135.500
Bogotá;2015;5;4.588.128.240.736.640;7.386.044.265.435.880;35.128.905.740.373.700;3.151.117.553.704.420;4.104.310.513.164.120;19.945.774.140.974.300;7.220.097.931.859.160;15.401.065.582.658.900
Pereira;2016;9;3.218.447.591.188.940;4.938.349.746.561.100;2.164.642.929.454.000;12.846.289.276.121.000;27.452.345.501.080.800;1.331.189.991.374.430;9.488.648.973.056.670;138.261.468.379.256
Barranquilla;2022;1;1.941.898.348.755.990;5.870.257.011.586.170;1.970.395.951.197.700;12.443.475.728.737.300;18.762.825.639.103.800;23.617.234.149.875.600;6.651.071.492.562.210;11.633.349.515.626.600
Cúcuta;2021;9;35.110.260.123.795.400;5.763.935.852.187.880;19.528.253.958.562.300;37.918.996.917.091.400;2.489.138.711.333.800;26.437.569.259.734.800;8.949.204.323.791.540;11.636.728.067.315.100
Cartagena;2024;6;18.757.392.066.974.800;8.690.560.609.213.690;2.362.343.121.527.320;15.158.115.564.358.200;31.026.836.889.074.500;3.623.492.724.377.110;7.435.687.404.095.910;32.395.151.695.414.700
Cali;2023;4;6.121.066.811.187.710;52.280.748.640.002.200;420.210.793.410.164;12.773.729.041.213.900;855.650.802.687.514;28.536.439.610.684.100;9.778.160.527.319.110;4.965.553.867.611.030
Cúcuta;2019;10;4.590.683.722.228.230;3.488.464.284.483.890;23.488.026.143.028.700;13.700.121.263.900.400;37.507.881.137.345.900;15.506.420.040.293.800;432.985.104.957.953;54.641.210.329.568.600
Cúcuta;2016;7;4.368.592.359.042.000;30.658.108.741.876.900;17.137.025.946.251.400;8.106.606.536.249.340;31.032.250.187.236.300;21.940.542.944.191.100;7.723.253.773.515.950;10.233.402.850.797.300
Barranquilla;2021;9;4.200.636.415.990.360;4.059.239.730.648.560;2.525.245.629.081.630;10.894.782.056.432.200;4.200.652.748.962.980;24.960.388.607.243.500;29.906.577.807.329.000;8.873.916.567.449.750
Barranquilla;2022;5;54.543.926.329.187.100;9.723.076.405.696.220;4.255.083.605.761.530;10.316.894.344.326.600;372.976.506.452.563;1.855.869.276.238.350;6.912.895.795.113.910;13.245.313.410.108.800
Pereira;2021;5;25.024.521.645.441.100;7.032.413.198.968.100;19.971.752.810.643.800;9.259.147.976.228.840;31.439.379.805.966.600;25.900.060.007.714.400;8.531.488.705.572.200;61.378.092.540.805.300
Medellín;2021;8;13.533.287.858.431.100;8.002.498.173.614.400;13.189.949.915.690.500;1.085.251.639.082.920;25.729.980.775.806.400;25.516.888.949.684.600;916.842.531.805.083;1.410.645.355.872.110
Cúcuta;2019;7;3.394.955.334.787.930;8.072.975.454.242.650;1.999.008.730.269.580;1.628.221.486.898.190;4.827.434.066.043.580;28.186.798.578.679.100;810.793.683.040.488;6.718.478.863.613.420
Bucaramanga;2016;8;29.787.495.504.411.300;7.112.367.836.784.640;2.628.763.736.348.430;15.374.753.193.519.600;560.384.722.420.324;26.011.213.766.337.500;6.564.156.685.672.350;8.328.145.452.101.600
Cúcuta;2020;11;2.236.556.424.844.890;6.850.437.406.697.380;318.824.095.082.534;4.090.696.612.655.710;25.930.207.139.282.200;23.425.718.250.538.700;7.817.693.256.387.150;13.581.779.025.834.700
Pereira;2018;12;3.380.226.269.768.300;9.089.052.859.636.280;3.506.883.578.682.240;149.270.090.845.347;42.507.521.684.430.600;1.881.034.126.495.550;100.0;1.201.861.834.761.970
Manizales;2024;10;2.582.592.280.693.120;729.199.182.862.528;14.542.827.260.376.700;15.955.716.863.740.100;2.151.900.409.241.630;15.534.607.027.534.200;7.113.068.035.889.100;4.994.176.044.956.540
Bogotá;2016;2;745.992.074.964.753;9.798.194.958.526.820;15.491.546.655.409.300;924.411.163.323.817;22.947.768.555.731.200;2.309.508.069.076.970;8.441.554.653.436.140;14.256.242.492.508.100
Cali;2023;9;28.382.349.638.093.500;8.241.659.890.579.730;217.673.774.061.251;12.542.235.518.988.800;25.365.060.582.018.000;19.980.829.541.448.200;63.559.715.657.274.400;10.355.945.197.280.400
Medellín;2021;3;1.795.437.249.944.210;5.764.407.453.037.940;3.184.493.024.696.890;1.247.000.833.651.500;382.161.922.512.762;20.464.013.811.634.200;8.605.641.705.558.840;14.311.737.032.155.300
Cartagena;2020;6;3.847.472.107.416.380;60.057.319.522.601.200;12.399.921.023.477.400;5.750.166.916.628.490;17.101.040.467.931.300;27.608.952.453.596.800;8.359.083.937.517.780;6.629.272.367.279.410
Cartagena;2019;6;25.159.478.626.390.100;5.545.070.387.091.440;18.926.730.895.823.000;809.021.856.235.836;48.599.570.724.050.800;28.844.620.069.029.300;60.842.294.999.869.800;836.149.390.898.643
Cartagena;2017;2;5.167.447.211.211.570;9.435.096.043.901.430;1.907.256.270.588.050;13.754.051.194.258.000;4.125.446.708.847.630;15.823.166.918.733.400;8.165.959.182.405.380;5.322.646.290.768.090
Barranquilla;2024;12;5.905.799.100.901.790;6.189.898.094.108.890;3.441.748.855.364.370;7.520.888.815.842.740;3.793.818.246.514.650;2.094.784.697.042.400;8.237.175.838.432.500;1.537.085.057.354.090
Cartagena;2024;7;4.519.072.059.517.850;5.403.054.406.400.730;30.282.607.606.644.300;14.877.497.796.311.500;26.474.224.007.967.700;19.833.974.148.517.100;8.109.914.074.402.510;8.500.964.604.243.170
Cali;2018;9;11.734.607.270.250.200;763.955.608.225.364;340.371.836.104.992;16.524.862.204.248.800;399.538.510.782.809;2.357.454.321.001.330;6.938.281.087.340.480;11.840.731.924.580.400
Bogotá;2017;12;57.577.939.983.185.500;6.805.665.787.254.990;38.386.779.742.330.500;15.718.359.209.902.300;5.0;10.668.611.555.119.100;8.843.638.386.707.090;10.826.350.652.769.800
Cartagena;2022;10;58.635.806.755.606.400;7.589.137.025.150.320;21.943.499.049.109.100;19.899.023.015.847.200;3.529.081.636.190.990;14.695.810.074.786.000;5.597.612.040.675.010;12.822.981.520.679.000
Cúcuta;2017;11;35.281.857.669.619.100;10.779.627.807.787.600;13.125.938.451.463.100;9.546.338.588.544.430;31.921.464.811.952.900;2.141.252.533.480.790;7.014.622.070.322.100;1.669.220.256.626.000
Cúcuta;2021;1;5.484.389.240.503.290;8.826.141.611.857.710;131.903.638.215.298;10.886.005.369.845.300;7.365.413.217.385.260;25.930.576.021.526.500;7.167.103.762.925.090;12.702.802.201.621.300
Barranquilla;2021;8;26.724.872.929.299.800;7.054.021.108.603.810;66.189.243.494.116;116.033.152.388.132;3.487.503.579.278.600;2.237.645.368.726.780;8.757.059.413.639.300;16.970.456.704.742.200
Cali;2021;2;700.631.097.725.616;4.183.153.231.587.980;20.412.331.703.338.000;9.698.010.375.046.300;3.709.070.071.051.280;2.535.753.536.528.850;5.550.287.159.721.990;1.280.900.767.692.280
Bogotá;2021;1;23.595.733.420.676.000;6.000.075.005.582.720;21.157.773.851.682.600;12.710.894.870.508.200;7.755.207.061.989.850;2.298.654.188.843.490;7.361.642.714.362.650;10.526.127.775.751.200
Medellín;2016;8;60.939.512.990.671.300;8.422.092.205.090.600;3.287.553.406.805.040;14.439.798.549.400.500;15.758.742.988.175.000;28.381.447.868.720.500;6.261.500.433.912.160;11.285.824.416.695.400
Pereira;2024;2;12.633.801.145.827.800;46.579.179.206.763.600;2.516.914.217.176.600;11.024.526.943.462.500;5.477.266.982.221.140;294.294.377.441.609;7.164.179.002.098.320;0.0
Bogotá;2017;6;34.992.819.228.972.400;11.281.940.592.660.700;20.096.715.556.573.900;31.128.167.505.855.200;27.763.757.446.770.400;1.819.768.556.417.250;7.588.440.026.666.520;8.179.378.158.207.350
Pereira;2024;6;3.551.215.840.010.310;7.028.833.125.271.090;2.384.001.273.839.410;5.186.883.611.962.100;4.170.751.271.398.060;26.418.226.698.937.700;50.823.604.889.827.100;9.425.669.778.678.760
Manizales;2023;5;27.305.386.340.482.800;709.769.678.641.897;14.610.265.162.852.300;13.664.449.055.149.500;435.216.230.914.761;24.540.597.742.335.200;8.896.090.689.809.180;11.752.217.208.889.500
Pereira;2017;8;28.347.176.002.443.200;5.666.709.614.084.040;35.254.065.707.512.800;9.004.418.807.754.890;3.472.724.176.794.320;34.523.340.725.417.300;7.641.747.014.498.520;9.897.961.522.581.000
Bucaramanga;2016;3;3.608.373.701.354.300;7.993.475.513.551.430;17.140.844.371.904.900;1.348.807.237.357.900;42.206.896.214.271.300;18.010.824.904.929.400;5.712.105.971.003.510;11.335.503.924.112.000
Cúcuta;2023;10;2.656.756.487.097.900;4.683.996.386.955.530;13.600.687.280.641.000;889.611.698.199.435;5.0;21.416.322.344.840.900;6.488.231.195.749.850;47.072.402.204.584.700
Cali;2024;4;13.669.122.542.481.000;11.329.785.178.202.900;331.788.196.670.747;15.532.031.581.955.700;2.723.364.705.983.210;16.838.631.833.420.600;9.241.294.709.741.760;3.674.628.511.027.150
Santa Marta;2023;7;3.822.547.914.415.180;9.634.702.609.304.020;30.741.642.083.638.500;8.804.596.471.893.480;5.0;17.135.318.839.489.900;7.623.776.404.409.730;5.267.471.294.790.990
Barranquilla;2018;7;5.110.049.873.667.450;8.968.592.890.394.090;7.763.146.214.409.880;1.0;9.046.876.025.193.020;23.927.820.108.225.500;5.552.680.384.724.460;16.284.777.763.398.900
Bucaramanga;2023;12;48.043.587.779.801.300;4.219.141.988.420.380;3.355.001.634.710.220;11.126.962.910.056.300;23.447.826.036.180.600;23.027.717.102.695.500;58.247.423.592.533.600;49.284.045.678.838.700
