Ciudad;Año;Mes;Casos_Asma;Casos_Bronquitis;Casos_Neumonia;Casos_EPOC;Urgencias_Respiratorias;Hospitalizaciones;Mortalidad_Respiratoria;Edad_Promedio_Pacientes;Costo_Promedio_Paciente
Bogotá;2023;11;20;17;10;5;27;10;2;15.252.417.880.910.200;361.157.451.522.144
Cúcuta;2022;10;18;20;5;10;23;14;2;29.023.376.895.781.300;47.768.364.373.448.700
Cali;2022;5;17;18;9;6;30;15;6;18.290.431.268.931.700;6.099.843.089.896.480
Medellín;2015;10;24;12;11;7;28;12;1;1.863.765.376.100.300;51.555.564.394.386
Manizales;2023;1;16;15;7;6;30;18;2;1.178.499.757.263.440;2.650.787.787.101.420
Bogotá;2022;10;20;11;11;7;34;14;2;31.327.407.314.151.400;42.182.217.893.134.100
Manizales;2017;2;25;16;15;8;36;13;1;4.215.317.125.812.940;47.350.563.888.432.900
Cúcuta;2022;1;28;18;9;8;25;14;3;56.927.407.427.035.700;6.275.869.790.158.010
Barranquilla;2023;8;18;13;6;6;38;11;2;4.377.610.979.406.870;5.999.772.179.776.450
Santa Marta;2016;8;32;7;12;6;30;12;1;4.191.888.274.594.910;4.576.499.584.421.330
Medellín;2015;8;20;16;6;10;29;14;1;45.522.903.096.875.300;5.970.375.678.116.630
Barranquilla;2015;10;15;15;15;7;31;12;4;2.708.015.063.882.080;7.583.260.963.387.440
Cúcuta;2015;10;27;24;17;6;23;13;4;4.454.095.077.160.380;7.216.425.501.161.560
Pereira;2019;1;20;11;6;7;28;10;0;53.042.321.590.421.900;32.430.653.908.885.800
Cartagena;2016;4;18;16;12;5;27;10;3;44.437.962.511.849.000;2.913.859.426.249.430
Pereira;2018;12;17;15;9;10;27;5;2;4.312.407.072.496.730;37.031.292.592.045.800
Manizales;2015;11;21;12;6;5;24;14;2;56.013.720.407.570.400;20.732.013.823.193.900
Barranquilla;2016;1;18;13;10;12;28;14;1;3.838.839.862.082.490;4.530.445.908.699.500
Cali;2021;4;23;13;6;10;36;10;3;37.580.072.393.651.400;47.230.569.508.390.100
Bogotá;2023;7;24;14;13;9;20;12;2;4.755.560.825.950.290;47.502.339.421.630.200
Cali;2020;10;21;20;9;8;29;11;2;3.505.412.696.331.180;22.243.245.273.111.700
Pereira;2024;7;16;9;10;6;38;11;2;760.962.466.637.917;346.488.055.415.374
Cúcuta;2024;1;17;8;10;7;35;9;2;7.561.151.326.250.210;7.100.116.403.583.060
Cúcuta;2019;10;16;19;10;7;20;12;1;5.978.484.199.382.250;4.713.442.006.340.340
Cartagena;2024;2;22;19;4;7;26;11;4;2.228.038.682.581.080;4.278.040.573.492.600
Barranquilla;2021;11;19;21;12;8;22;9;0;56.065.698.560.693.600;47.812.821.944.970.500
Bucaramanga;2023;6;20;19;14;11;35;13;0;6.084.741.288.667.280;551.191.983.697.236
Manizales;2016;11;18;13;7;10;22;7;2;21.715.518.511.863.100;29.494.140.564.882.700
Bucaramanga;2020;6;29;16;13;10;31;14;1;4.233.661.376.447.410;2.671.405.137.479.300
Cartagena;2017;1;17;15;9;8;24;17;1;56.932.799.270.407.700;4.525.218.874.681.730
Medellín;2024;4;18;13;15;4;26;10;2;5.322.862.785.317.040;100000.0
Cali;2024;11;15;16;11;9;36;13;3;4.117.753.303.531.010;10.876.901.923.006.700
Cúcuta;2018;9;30;13;14;9;43;5;3;6.447.532.388.042.500;4.445.940.128.191.280
Manizales;2019;8;18;12;8;6;40;11;4;63.533.835.103.705.100;5.976.247.777.943.010
Santa Marta;2019;11;19;19;8;7;24;17;2;5.124.169.951.717.340;6.352.055.374.914.250
Medellín;2024;4;20;14;16;11;27;14;0;3.225.251.391.920.050;683.728.247.227.829
Bogotá;2022;3;11;20;18;12;21;9;3;643.838.979.318.903;32.412.543.267.895.000
Bogotá;2019;8;17;16;9;7;39;17;1;43.059.925.006.676.600;100000.0
Bogotá;2016;9;24;20;9;6;28;11;7;4.381.631.236.670.660;22.431.799.582.997.400
Bucaramanga;2016;1;20;10;7;5;42;9;0;19.161.730.030.986.400;8.063.781.045.557.760
Cartagena;2015;10;25;14;14;7;27;14;2;4.581.347.994.857.100;700.985.933.229.319
Manizales;2016;8;18;20;11;4;46;10;1;6.421.113.934.588.630;7.668.030.102.055.720
Cartagena;2015;5;20;15;9;10;25;13;1;4.460.908.330.695.020;514.792.798.788.361
Cúcuta;2017;3;18;15;10;17;28;7;0;5.127.643.916.741.630;49.722.801.602.708.100
Bogotá;2019;10;18;14;11;9;34;14;3;3.890.794.591.868.860;6.539.766.231.009.410
Cúcuta;2017;11;13;17;12;4;19;14;4;4.035.613.930.674.860;5.490.842.779.349.980
Barranquilla;2021;5;20;15;5;9;36;12;2;34.865.290.090.868.500;3.376.298.661.515.960
Santa Marta;2024;10;21;10;5;6;34;11;1;2.503.297.235.431.950;38.092.565.286.021.700
Manizales;2016;4;24;16;7;15;23;6;0;538.989.901.027.804;14.361.854.657.257.500
Medellín;2019;1;21;16;9;7;30;8;2;373.445.940.938.363;47.322.290.033.918.100
Cali;2017;8;14;20;9;7;42;16;3;3.959.268.134.956.920;45.949.893.660.462.000
Barranquilla;2016;7;17;14;4;6;32;8;0;28.172.947.690.897.200;100000.0
Cartagena;2018;11;29;18;12;12;33;17;2;45.547.441.355.252.000;6.810.526.303.690.800
Medellín;2023;4;21;11;6;9;26;22;2;447.956.137.756.588;5.936.300.167.515.750
Manizales;2023;4;16;17;8;9;30;13;0;22.009.724.117.551.000;8.463.852.849.784.960
Bucaramanga;2020;5;18;16;14;6;35;13;2;28.636.671.800.887.500;2.914.267.211.358.810
Cúcuta;2021;1;14;14;10;4;23;14;4;6.256.690.732.008.700;5.994.303.664.104.560
Manizales;2015;4;20;14;13;6;33;6;2;58.023.826.219.703.900;25.122.499.940.030.300
Santa Marta;2017;5;23;11;8;8;39;7;5;30.860.499.167.371.300;33.677.375.111.092.900
Santa Marta;2016;8;19;19;5;5;40;9;1;6.010.123.159.950.190;5.967.634.409.855.080
Medellín;2023;1;13;18;8;5;28;7;0;25.489.047.521.316.200;6.896.706.324.272.450
Cali;2024;11;15;15;12;3;36;11;2;6.827.112.249.759.560;40.374.523.585.337.300
Cali;2022;4;19;18;7;10;26;14;2;100.0;36.905.235.072.723.200
Pereira;2017;10;21;15;7;4;40;6;1;30.079.614.969.556.300;333.861.753.506.399
Pereira;2024;10;12;15;12;5;31;10;3;44.371.195.233.041.500;8.520.557.559.690.380
Cali;2022;7;15;13;8;7;34;22;4;4.433.340.015.061.540;5.422.195.372.786.460
Pereira;2024;5;15;16;7;10;33;8;0;5.436.789.348.847.100;7.095.279.904.112.210
Cartagena;2022;1;28;16;6;7;22;10;3;29.615.498.185.198.900;51.889.151.314.896.800
Barranquilla;2022;7;21;17;11;11;36;13;2;4.194.791.214.766.690;24.842.864.225.374.700
Barranquilla;2018;1;17;17;11;7;42;11;0;7.242.202.837.835.630;4.215.933.134.631.810
Barranquilla;2021;2;22;15;17;10;32;10;2;3.530.882.744.141.030;6.351.439.521.768.630
Bogotá;2024;8;25;10;6;3;30;8;0;5.635.329.595.425.040;7.382.900.443.897.900
Manizales;2022;9;21;15;10;6;28;11;3;25.613.987.417.622.000;4.118.123.645.571.380
Santa Marta;2024;8;22;13;10;12;24;10;6;5.729.633.371.366.950;47.876.355.174.027.100
Santa Marta;2019;8;17;17;8;7;34;14;3;6.978.874.843.555.650;3.452.412.925.171.940
Barranquilla;2023;6;19;10;10;6;31;10;1;4.406.220.068.754.370;49.062.127.347.634.300
Medellín;2023;7;21;10;12;8;36;6;6;52.211.090.784.149.700;2.951.794.591.147.080
Bogotá;2017;4;21;12;16;8;27;13;2;5.982.036.968.258.700;34.519.004.553.322.400
Cali;2017;12;24;14;14;12;24;16;3;26.684.388.712.221.900;7.897.457.130.799.990
Bogotá;2022;5;8;12;13;5;26;25;5;25.320.088.414.440.200;539.744.324.526.913
Cartagena;2021;2;12;15;11;4;30;15;1;25.047.848.820.823.400;7.426.568.728.153.170
Bucaramanga;2023;10;22;9;8;11;35;12;1;5.633.715.412.637.780;4.940.442.864.880.580
Bucaramanga;2016;11;20;17;14;17;30;10;4;7.529.843.382.237.440;5.003.439.945.009.480
Bucaramanga;2016;4;17;15;12;5;38;14;1;32.913.864.629.470.600;5.626.380.768.027.030
Manizales;2021;7;15;12;11;7;34;14;3;4.310.378.633.338.720;3.007.131.401.278.150
Bogotá;2022;4;23;13;10;9;27;14;7;42.525.240.981.480.700;5.773.654.943.006.820
Barranquilla;2017;6;22;18;9;5;30;8;3;25.241.615.546.562.600;6.773.885.262.541.560
Santa Marta;2015;11;13;17;8;11;31;8;4;1.395.253.360.000.140;5.289.469.228.536.110
Santa Marta;2024;11;19;14;7;11;27;15;2;7.184.490.393.606.840;8.912.750.929.528.940
Cúcuta;2021;12;20;13;9;7;35;12;4;5.591.040.388.171.320;6.251.225.906.824.210
Santa Marta;2020;8;19;16;4;5;18;12;2;3.661.086.611.979.050;7.708.582.643.814.310
Medellín;2015;5;19;15;13;5;19;14;3;5.430.623.355.169.030;6.450.066.120.167.130
Pereira;2023;8;24;21;13;8;27;16;1;5.004.835.832.770.480;16.352.979.410.409.400
Manizales;2020;4;19;16;7;4;32;15;3;4.926.971.839.920.890;25.890.967.925.100.200
Manizales;2019;11;17;19;12;9;37;7;1;5.647.037.735.660.630;5.027.222.322.256.030
Cali;2017;2;15;20;7;10;25;13;4;3.512.525.248.391.290;7.255.005.473.836.660
Medellín;2023;9;20;15;12;9;22;15;0;15.995.973.363.907.200;47.802.740.727.091.800
Medellín;2021;2;29;15;11;7;27;11;4;31.976.979.667.655.800;18.294.259.038.100.400
Cali;2018;7;15;14;4;12;30;11;2;3.566.573.661.425.870;34.270.050.053.068.200
Cali;2015;6;17;17;16;9;20;13;1;42.691.148.911.179.100;6.881.498.547.850.520
Santa Marta;2018;2;18;14;10;12;29;8;5;26.890.454.178.323.000;100000.0
Medellín;2017;3;20;22;12;7;24;17;1;6.870.589.784.588.170;30.951.967.824.218.100
Manizales;2020;12;15;11;14;4;39;13;0;479.534.910.001.356;461.653.732.483.221
Medellín;2015;11;25;23;12;9;38;9;1;1.0;5.416.113.733.525.630
Bucaramanga;2018;11;35;14;5;10;34;11;2;7.091.758.754.724.390;3.731.511.228.330.770
Cartagena;2015;7;19;21;14;8;35;13;1;6.337.351.861.230.910;8.196.692.650.182.580
Manizales;2015;6;17;19;11;9;34;12;0;34.199.676.476.808.100;51.293.546.082.473.000
Manizales;2020;6;18;24;6;8;28;11;2;27.015.253.806.535.400;15.855.401.890.806.500
Pereira;2020;7;15;11;13;7;33;16;2;5.454.938.005.454.630;6.214.684.342.224.090
Barranquilla;2023;5;26;12;6;9;29;13;2;22.931.050.537.641.000;4.406.384.942.334.790
Santa Marta;2021;1;22;20;7;9;29;7;3;46.995.670.590.265.300;38.092.175.165.194.200
Cartagena;2020;5;19;15;6;10;30;11;0;26.481.849.848.077.800;36.282.346.642.357.300
Santa Marta;2017;9;29;17;5;8;21;13;4;6.512.394.823.767.980;3.734.333.716.902.320
Barranquilla;2017;2;29;13;10;7;26;16;5;38.560.434.413.210.000;7.680.614.176.883.020
Manizales;2019;10;28;16;13;8;33;10;2;4.533.467.494.213.050;4.431.609.623.799.970
Cali;2020;3;19;7;13;14;33;9;2;39.582.658.309.024.300;4.503.645.460.275.940
Santa Marta;2020;2;20;10;14;7;22;17;0;6.363.841.800.963.750;22.753.502.529.775.700
Medellín;2022;5;22;14;11;10;31;7;1;553.362.692.443.719;8.021.186.160.439.680
Barranquilla;2022;5;30;16;8;13;32;18;1;5.610.106.323.445.030;8.402.502.404.404.260
Cartagena;2015;12;19;21;8;12;28;13;2;52.287.896.994.667.800;33.381.463.772.066.100
Bogotá;2017;5;25;10;10;6;36;15;0;3.266.099.411.384.880;5.732.096.186.169.160
Cali;2019;6;13;15;13;10;32;10;2;7.349.192.517.385.050;5.569.567.540.465.160
Pereira;2023;3;18;15;8;9;34;9;1;500.125.571.814.391;5.290.473.028.883.930
Cartagena;2018;8;22;12;5;6;28;8;2;39.834.512.700.983.500;4.498.689.467.258.710
Bogotá;2019;3;21;9;11;9;28;6;3;42.214.481.594.439.200;4.636.314.378.244.910
Barranquilla;2015;2;21;14;10;5;42;12;0;1.0;5.351.452.112.752.570
Pereira;2021;9;14;17;14;6;28;15;1;2.414.765.338.690.910;6.063.652.875.674.390
Pereira;2016;6;22;15;11;8;29;9;2;3.294.699.300.590.990;4.180.797.654.576.330
Medellín;2015;7;25;14;8;7;27;12;1;5.177.350.240.948.330;7.834.193.222.961.530
Cúcuta;2016;12;19;11;8;5;35;16;1;31.503.512.348.519.600;823.996.332.604.689
Santa Marta;2022;1;22;11;10;6;26;13;3;5.962.367.398.964.760;6.530.989.856.713.480
Bogotá;2015;12;23;15;10;9;30;8;1;6.424.802.553.971.990;35.557.163.304.110.200
Santa Marta;2015;3;19;13;10;5;33;14;0;5.029.973.057.015.280;6.996.141.360.588.590
Pereira;2015;7;18;9;14;7;28;9;4;4.027.771.328.207.610;4.334.224.859.572.680
Pereira;2016;8;25;18;5;7;37;8;3;648.109.212.745.128;1.351.463.002.813.760
Bucaramanga;2015;11;19;9;13;12;27;13;2;6.892.047.687.442.840;6.276.876.018.644.180
Bogotá;2016;12;18;6;11;7;29;12;3;33.561.783.268.618.800;7.710.613.512.071.530
Cúcuta;2021;2;21;15;7;8;25;14;0;2.864.152.712.604.680;2.777.025.510.423.290
Santa Marta;2015;5;21;15;12;5;23;7;3;19.759.546.237.161.100;33.477.030.112.670.400
Cali;2024;5;12;16;15;6;29;16;0;3.615.546.709.370.910;7.299.998.993.426.940
Bogotá;2016;9;12;17;12;6;38;8;1;37.890.596.517.547.400;3.816.235.090.080.910
Manizales;2017;3;15;15;10;7;37;15;2;6.122.310.200.438.260;7.536.379.232.844.030
Santa Marta;2016;11;23;14;14;3;36;11;1;48.636.029.885.155.600;3.314.026.639.111.640
Cartagena;2017;11;15;18;13;9;31;8;0;7.383.351.227.397.090;39.086.602.353.171.600
Medellín;2021;11;12;10;7;12;32;16;2;2.892.252.612.395.060;6.447.675.498.217.130
Bogotá;2016;5;14;11;9;6;32;12;1;2.291.637.668.352.750;19.646.586.482.080.600
Bucaramanga;2017;12;26;17;8;4;34;7;3;7.703.571.880.668.440;6.890.603.442.140.910
Bogotá;2020;8;17;18;2;12;29;12;4;456.861.726.551.246;5.593.188.556.809.080
Bucaramanga;2018;11;23;21;15;6;23;12;3;5.210.995.551.578.390;7.554.003.354.650.390
Bogotá;2015;3;24;18;11;8;21;6;1;5.157.991.600.685.780;17.737.730.448.699.100
Manizales;2022;6;23;15;3;6;32;15;2;3.308.333.243.288.390;8.107.657.176.316.450
Manizales;2021;9;17;19;11;5;30;16;0;4.757.677.907.154.340;7.167.196.628.022.560
Santa Marta;2022;10;17;13;12;6;34;10;2;3.287.973.859.627.690;4.797.177.490.962.040
Barranquilla;2023;4;21;16;7;7;37;7;1;33.089.847.220.898.400;7.820.079.039.646.520
Manizales;2023;7;17;14;11;13;25;10;1;4.469.113.139.943.610;13.789.613.936.228.800
Pereira;2017;8;22;15;18;11;34;7;5;62.655.377.291.940.200;42.541.774.732.707.200
Pereira;2023;6;21;20;6;7;29;10;2;5.910.585.581.222.610;269.267.638.552.328
Cali;2020;1;29;16;7;14;31;5;1;40.034.512.952.226.900;6.919.089.500.734.070
Pereira;2024;6;21;15;9;10;32;16;1;3.169.845.484.996.000;2.389.814.456.856.370
Cali;2024;12;20;9;10;9;22;16;0;42.526.286.106.370.600;7.277.700.716.722.730
Cartagena;2016;4;21;22;13;8;24;9;3;33.750.119.581.034.300;7.898.974.301.295.510
Bogotá;2015;11;24;14;10;10;30;11;1;39.078.076.458.758.000;4.076.751.363.200.410
Manizales;2018;3;15;14;7;8;32;17;3;6.066.148.128.892.920;7.111.969.736.953.290
Santa Marta;2023;3;19;21;15;6;27;10;2;29.545.151.538.615.600;5.007.993.165.772.410
Pereira;2016;3;21;13;10;8;28;12;0;42.535.957.027.692.500;51.217.208.008.327.700
Barranquilla;2015;1;18;16;6;8;19;9;2;6.504.223.428.362.530;5.623.664.269.368.270
Manizales;2016;10;26;12;8;10;30;12;2;6.261.363.963.279.050;495.771.371.226.906
Manizales;2021;10;18;17;10;2;34;15;1;321.410.021.729.694;6.133.973.964.234.290
Bucaramanga;2019;1;31;14;6;8;31;9;1;4.100.679.227.317.560;44.861.533.729.640.100
Cartagena;2019;2;26;12;8;13;34;15;1;32.502.686.159.525.200;6.150.485.898.888.570
Santa Marta;2024;5;23;11;14;11;26;15;2;29.567.973.523.887.300;40.104.867.941.225.200
Barranquilla;2018;7;20;19;7;8;24;13;5;32.521.943.239.891.900;42.473.238.998.608.700
Cartagena;2015;5;16;22;16;10;22;13;1;5.637.226.088.143.050;7.244.494.818.852.450
Manizales;2022;3;23;15;9;6;31;11;1;2.507.158.236.920.010;8.832.240.188.209.920
Pereira;2015;5;21;24;10;13;27;9;0;6.541.159.050.953.210;6.360.510.632.806.550
Barranquilla;2024;6;22;12;11;5;22;9;5;45.087.242.181.180.100;446.026.355.745.381
Cartagena;2017;4;18;15;13;2;38;9;1;26.971.863.707.026.800;50.366.854.453.293.600
Bucaramanga;2016;4;20;12;11;8;36;14;0;35.245.810.722.333.900;5.666.566.988.862.020
Cúcuta;2016;1;16;12;7;4;28;15;0;6.117.727.260.440.440;6.519.218.590.089.920
Santa Marta;2023;7;22;10;3;6;26;15;1;666.756.981.474.469;6.329.305.011.091.300
Bucaramanga;2023;8;14;15;11;7;31;12;3;5.080.395.367.174.580;43.120.110.469.428.700
Manizales;2019;4;22;14;8;11;34;9;2;3.721.368.018.094.360;7.940.196.252.803.820
Pereira;2016;6;20;14;8;3;30;11;7;405.584.603.682.233;6.023.990.789.611.420
Cali;2024;6;17;13;11;9;31;11;4;5.410.095.774.150.840;8.805.669.296.023.400
Cartagena;2021;1;23;16;7;10;33;13;0;38.005.542.442.903.000;5.328.812.305.352.160
Barranquilla;2022;10;18;14;9;6;27;10;4;27.211.778.705.712.000;6.076.505.134.003.960
Bogotá;2023;4;19;13;10;8;26;13;1;3.554.159.983.379.380;3.542.469.181.188.420
Barranquilla;2018;6;17;14;12;7;39;14;0;882.133.149.569.492;3.736.489.191.889.030
Medellín;2015;12;24;11;6;2;29;12;2;4.658.206.178.882.000;46.525.266.571.322.300
Barranquilla;2021;9;18;10;9;16;29;14;6;942.328.569.194.428;6.571.787.354.744.920
Medellín;2021;4;21;6;12;6;30;19;2;3.738.820.410.359.570;40.183.309.254.158.500
Barranquilla;2015;9;17;17;9;11;23;9;0;61.671.575.436.175.200;7.450.471.738.735.000
Barranquilla;2018;4;22;20;10;8;29;9;2;4.467.738.957.471.130;4.726.141.372.597.690
Cali;2018;7;16;16;16;2;26;9;1;28.883.996.209.097.500;5.404.091.019.303.130
Cartagena;2015;7;28;17;8;7;27;5;2;796.000.873.236.903;4.019.013.096.295.620
Cúcuta;2021;8;20;19;5;8;28;12;0;4.810.423.079.443.270;6.999.015.663.768.810
Bogotá;2017;7;30;18;10;8;25;25;1;19.954.594.146.512.600;5.286.481.075.571.190
Manizales;2015;6;24;18;6;9;27;10;2;4.314.924.614.400.480;46.930.444.516.253.900
Santa Marta;2021;3;20;17;5;10;26;14;2;8.382.248.092.270.220;3.151.228.672.495.050
Bogotá;2017;10;21;26;11;6;31;13;2;6.621.657.408.518.800;43.558.172.653.703.700
Santa Marta;2017;7;21;9;8;8;33;12;1;7.367.431.610.000.220;3.826.161.803.185.520
Bogotá;2017;12;18;14;5;7;27;10;3;24.808.407.700.845.900;6.767.105.693.094.350
Medellín;2018;6;17;11;6;8;32;11;2;48.668.840.216.770.300;41.725.933.246.632.400
Santa Marta;2019;10;16;11;8;8;28;11;2;10.235.688.717.539.600;8.244.330.378.782.250
Bucaramanga;2015;12;22;22;11;9;30;5;2;1.167.637.178.118.340;5.719.127.801.127.880
Cúcuta;2017;8;23;14;7;6;22;17;4;51.150.554.934.284.700;519.556.001.464.088
Cali;2015;4;22;10;12;9;26;9;3;4.077.302.708.446.440;4.260.685.799.425.180
Cartagena;2017;7;12;21;7;2;25;17;2;3.843.399.805.636.290;38.885.930.179.897.800
Pereira;2017;7;17;22;6;10;26;18;1;5.759.307.789.667.940;52.318.925.529.702.300
Santa Marta;2018;3;16;15;10;9;24;9;0;358.729.981.633.589;6.880.044.516.677.520
Bucaramanga;2024;8;21;14;5;13;34;11;2;2.114.042.156.115.560;4.479.614.474.661.110
Cali;2015;10;15;15;10;8;20;5;1;34.578.131.605.490.300;7.101.905.227.355.880
Medellín;2019;2;19;11;12;9;17;17;3;33.345.100.408.919.100;34.060.292.253.811.200
Cali;2018;3;13;14;7;13;36;18;2;8.404.781.739.073.490;4.647.298.765.385.480
Bucaramanga;2019;1;21;14;6;9;32;14;2;19.337.566.139.380.000;5.420.179.368.897.400
Cartagena;2020;2;19;16;11;5;32;15;2;47.283.158.309.517.300;8.861.734.031.126.860
Pereira;2017;11;14;16;9;12;26;9;4;1.0;3.120.736.878.799.680
Santa Marta;2017;1;19;9;11;7;29;11;3;4.833.655.518.865.250;731.397.982.787.704
Medellín;2019;6;17;13;12;9;24;17;3;4.894.708.481.258.970;5.449.993.718.428.670
Medellín;2019;11;21;9;9;3;26;13;1;4.481.550.533.301.410;21.242.920.978.243.600
Barranquilla;2023;5;20;15;5;10;31;13;2;3.968.845.153.874.210;5.741.118.229.921.850
Cúcuta;2021;6;16;15;5;5;33;11;3;61.021.394.942.770.100;42.486.198.788.475.600
Cartagena;2020;3;9;16;14;6;36;14;0;6.422.789.410.843.040;729.476.011.247.448
Manizales;2016;7;18;21;10;11;37;9;1;6.987.850.540.193.900;6.208.052.122.113.810
Manizales;2023;4;18;21;10;4;27;15;1;25.671.247.227.647.600;5.727.471.629.842.790
Bucaramanga;2024;1;15;16;9;10;30;17;1;20.627.426.546.799.300;8.793.631.898.041.610
Bucaramanga;2017;3;20;11;7;9;33;11;3;5.856.580.188.501.480;5.500.391.408.483.240
Cúcuta;2021;5;20;17;9;9;33;11;2;58.714.349.305.545.800;45.397.199.035.811.100
Barranquilla;2022;7;17;17;7;9;30;11;2;1.0;854.356.670.630.066
Medellín;2023;9;24;13;9;6;39;15;3;4.316.791.022.327.960;757.530.128.023.411
Manizales;2019;5;14;20;10;8;28;10;1;364.006.591.040.195;46.180.397.965.962.800
Bucaramanga;2020;1;25;15;6;4;30;9;4;4.811.991.769.437.390;4.537.100.842.368.780
Barranquilla;2020;5;21;11;12;7;28;17;2;11.965.937.575.826.400;5.521.317.062.795.080
Bogotá;2019;11;22;11;14;6;32;17;2;660.729.955.624.425;5.560.870.037.656.990
Barranquilla;2021;1;20;17;12;7;20;6;1;8.133.894.454.875.770;4.910.427.285.417.910
Bucaramanga;2015;7;17;17;7;9;25;22;1;4.605.646.158.345.510;32.254.437.433.668.300
Cali;2019;9;24;17;9;13;24;11;2;1.0;39.884.449.457.264.900
Bogotá;2024;6;18;17;9;11;32;12;2;33.088.865.108.831.700;3.172.939.184.276.980
Medellín;2020;4;22;15;7;10;30;12;5;31.239.992.764.153.300;43.885.169.855.075.700
Bucaramanga;2017;6;23;15;8;8;35;18;1;61.710.345.894.584.500;7.657.745.996.263.690
Bogotá;2016;1;18;14;12;9;35;13;1;5.196.652.706.998.500;48.976.878.990.209.800
Bucaramanga;2018;4;25;14;10;4;26;11;2;7.511.437.544.800.920;100000.0
Bogotá;2017;6;29;13;9;9;25;6;0;1.532.345.942.824.960;1.857.213.793.503.700
Bogotá;2020;2;28;9;11;9;31;15;4;2.970.123.237.467.170;42.962.359.552.525.100
Bucaramanga;2020;3;18;14;12;9;28;9;2;5.376.776.789.873.180;17.612.304.310.310.000
Bogotá;2018;4;16;18;7;7;36;11;2;58.160.340.513.350.600;6.855.172.117.094.450
Cúcuta;2018;6;15;10;6;12;36;12;3;24.743.727.970.523.500;7.760.995.936.007.970
Medellín;2024;3;28;13;11;12;20;15;0;46.333.512.021.280.000;6.326.090.134.314.020
Cúcuta;2024;1;24;16;12;6;30;15;1;6.727.028.627.492.550;489.169.481.036.163
Cartagena;2024;6;19;14;14;12;35;10;2;20.947.343.512.627.200;4.769.496.636.952.840
Cartagena;2016;8;13;19;11;7;35;12;3;5.059.667.820.757.670;434.628.998.166.426
Santa Marta;2021;8;25;12;7;9;27;10;2;6.880.043.960.949.520;5.301.372.171.895.720
Pereira;2023;11;22;15;8;6;33;17;0;7.801.257.131.366.900;8.816.664.342.273.810
Bogotá;2023;4;19;15;8;5;33;13;1;3.345.136.038.100.470;6.323.705.405.959.260
Cúcuta;2024;6;21;15;9;10;32;13;4;4.339.331.836.164.160;3.057.538.775.387.970
Bogotá;2016;1;18;16;15;9;25;23;1;4.940.144.342.787.720;6.817.018.666.896.320
Cartagena;2023;6;22;14;8;4;25;13;1;8.289.505.430.232.190;7.341.572.229.379.740
Pereira;2019;12;19;16;16;14;23;7;2;54.730.354.821.927.900;5.611.304.401.094.770
Bogotá;2020;1;15;14;11;6;33;12;2;4.470.579.841.740.290;5.070.172.788.655.500
Cartagena;2015;4;22;21;14;11;20;11;1;5.787.737.647.781.950;5.320.543.784.859.870
Cali;2021;9;31;13;14;9;28;10;1;47.302.780.001.681.500;6.547.543.478.580.170
Pereira;2022;6;16;15;12;7;38;6;1;272.323.954.994.885;4.472.425.606.455.540
Cali;2019;4;20;14;10;10;34;9;3;5.588.875.088.262.120;20.322.783.804.025.000
Pereira;2020;10;24;15;11;13;30;13;1;7.393.570.742.181.220;52.424.721.562.884.500
Medellín;2018;4;13;13;15;8;25;13;5;51.639.700.277.504.300;46.517.426.968.787.200
Santa Marta;2017;4;22;15;7;3;26;8;2;36.046.152.254.625.600;5.690.130.803.465.520
Cali;2017;10;25;19;10;11;32;14;1;5.072.015.263.200.090;4.335.100.338.254.620
Bogotá;2016;7;18;14;10;8;38;9;3;24.236.622.764.891.900;9.791.432.940.484.230
Bogotá;2024;11;20;17;7;17;30;18;4;74.580.197.465.218;5.940.770.929.994.480
Barranquilla;2020;9;22;16;9;6;37;17;1;5.117.563.309.492.310;18.374.693.526.441.500
Cartagena;2023;6;20;11;11;6;32;4;2;4.988.845.864.828.390;5.657.097.376.941.330
Cali;2017;7;10;18;9;10;40;8;2;4.530.044.584.178.350;6.549.708.121.579.370
Medellín;2015;4;21;12;14;10;29;12;2;7.325.089.465.555.690;6.486.016.421.230.350
Bogotá;2024;11;24;13;14;8;21;13;5;24.212.702.149.786.100;4.602.689.001.233.660
Cali;2015;11;33;16;4;7;30;15;1;4.515.190.749.918.810;6.536.364.464.682.540
Bogotá;2018;5;16;10;16;6;25;10;2;176.239.544.405.133;6.923.442.914.228.980
Santa Marta;2015;9;13;9;12;7;28;15;1;6.608.745.408.831.390;8.742.508.404.805.180
Santa Marta;2024;8;19;18;8;7;36;10;2;4.911.058.799.903.990;8.935.563.602.019.310
Bucaramanga;2016;10;23;8;8;10;29;10;3;3.446.621.930.302.290;6.922.344.138.242.430
Cali;2018;2;21;9;7;6;26;15;5;39.862.374.720.327.300;6.775.932.827.691.590
Barranquilla;2018;8;20;11;9;7;30;8;2;4.660.054.816.634.020;6.974.307.268.095.270
Pereira;2022;3;26;18;8;8;29;13;4;5.537.564.084.990.180;30.607.233.341.001.300
Santa Marta;2018;2;16;18;14;10;29;10;1;29.070.936.292.187.000;4.870.998.245.926.680
Cartagena;2017;2;21;12;10;7;39;10;0;31.421.813.693.237.200;8.476.875.949.636.180
Cartagena;2018;11;16;14;12;7;41;9;1;6.501.196.526.030.330;3.995.724.984.181.160
Pereira;2019;4;22;11;9;5;34;15;4;18.897.616.687.881.400;4.876.713.147.575.820
